,hits,waste
10,148,0
10,190,0
12,165,0
13,200,0
13,192,0
14,120,0
14,116,0
14,207,0
15,232,0
16,266,0
16,316,0
17,185,0
18,216,0
18,284,0
18,295,0
18,306,0
18,303,0
18,285,0
18,218,0
19,234,0
