,N01,N02,N03,N04,N05
73.5,7,23,27,23,6
74.0,7,21,27,24,6
74.5,7,22,27,24,6
75.0,7,22,27,24,6
75.5,7,23,28,24,6
76.0,7,23,28,24,6
76.5,7,23,28,24,6
77.0,7,23,28,24,6
77.5,7,23,28,24,6
78.0,7,23,25,24,6
78.5,7,23,25,24,6
79.0,7,24,25,25,6
79.5,9,24,25,27,7
80.0,9,24,26,29,7
80.5,9,24,27,29,7
81.0,9,22,27,31,7
81.5,9,23,27,32,7
82.0,9,21,27,33,7
82.5,6,20,27,33,7
83.0,6,21,26,30,7
83.5,6,21,26,30,7
84.0,6,21,26,28,7
84.5,6,21,26,26,7
85.0,6,21,26,26,7
85.5,6,21,26,26,7
86.0,6,21,26,26,7
86.5,6,21,26,26,7
87.0,6,21,26,26,7
87.5,6,21,26,26,7
88.0,6,21,26,24,7
88.5,6,20,26,24,7
89.0,6,20,26,24,7
89.5,6,20,26,24,7
90.0,6,20,23,24,7
90.5,6,20,23,24,7
91.0,6,18,22,21,7
91.5,6,18,22,19,7
92.0,6,17,21,19,7
92.5,6,17,21,19,7
93.0,6,17,19,19,7
93.5,6,16,19,18,7
94.0,6,16,19,18,5
94.5,6,16,19,15,5
95.0,6,14,18,15,4
95.5,6,14,18,14,4
96.0,6,14,17,14,4
96.5,6,14,17,14,4
97.0,4,14,17,14,4
97.5,4,13,16,14,4
98.0,4,13,16,14,4
98.5,4,13,16,14,4
99.0,4,13,16,14,4
99.5,4,12,16,14,4
100.0,4,12,16,14,4
100.5,4,12,15,12,4
101.0,3,12,15,12,4
101.5,3,11,15,12,3
102.0,3,11,15,12,3
102.5,3,11,15,10,3
103.0,3,11,15,10,3
103.5,3,9,15,10,3
104.0,3,9,15,10,3
104.5,3,9,15,10,3
105.0,3,9,15,10,3
105.5,3,9,15,9,3
106.0,3,9,15,9,3
106.5,3,9,15,9,3
107.0,3,8,14,9,2
107.5,2,8,14,7,2
108.0,2,8,14,7,2
108.5,2,8,14,7,2
109.0,1,8,14,7,1
109.5,1,8,14,7,1
110.0,1,8,11,7,1
110.5,1,8,11,7,1
111.0,1,8,11,6,1
111.5,1,8,10,6,1
112.0,1,7,10,6,1
112.5,1,7,10,6,1
113.0,1,7,6,5,1
113.5,1,7,5,5,1
114.0,1,7,5,5,1
114.5,1,7,5,5,1
115.0,1,7,3,4,1
115.5,1,7,3,4,1
116.0,0,7,3,4,1
116.5,0,7,3,4,1
117.0,0,7,1,4,0
117.5,0,5,1,2,0
118.0,0,1,1,2,0
118.5,0,1,1,1,0
119.0,0,1,1,1,0
119.5,0,1,1,0,0
120.0,0,1,1,0,0
120.5,0,1,1,0,0
121.0,0,1,1,0,0
121.5,0,1,0,0,0
122.0,0,0,0,0,0
122.5,0,0,0,0,0
123.0,0,0,0,0,0
123.5,0,0,0,0,0
124.0,0,0,0,0,0
124.5,0,0,0,0,0
125.0,0,0,0,0,0
125.5,0,0,0,0,0
126.0,0,0,0,0,0
126.5,0,0,0,0,0
127.0,0,0,0,0,0
127.5,0,0,0,0,0
128.0,0,0,0,0,0
128.5,0,0,0,0,0
129.0,0,0,0,0,0
129.5,0,0,0,0,0
130.0,0,0,0,0,0
130.5,0,0,0,0,0
131.0,0,0,0,0,0
131.5,0,0,0,0,0
132.0,0,0,0,0,0
132.5,0,0,0,0,0
133.0,0,0,0,0,0
133.5,0,0,0,0,0
134.0,0,0,0,0,0
134.5,0,0,0,0,0
135.0,0,0,0,0,0
135.5,0,0,0,0,0
136.0,0,0,0,0,0
136.5,0,0,0,0,0
137.0,0,0,0,0,0
137.5,0,0,0,0,0
138.0,0,0,0,0,0
138.5,0,0,0,0,0
139.0,0,0,0,0,0
139.5,0,0,0,0,0
140.0,0,0,0,0,0
140.5,0,0,0,0,0
141.0,0,0,0,0,0
141.5,0,0,0,0,0
142.0,0,0,0,0,0
142.5,0,0,0,0,0
143.0,0,0,0,0,0
143.5,0,0,0,0,0
144.0,0,0,0,0,0
144.5,0,0,0,0,0
145.0,0,0,0,0,0
145.5,0,0,0,0,0
146.0,0,0,0,0,0
146.5,0,0,0,0,0
147.0,0,0,0,0,0
147.5,0,0,0,0,0
148.0,0,0,0,0,0
148.5,0,0,0,0,0
149.0,0,0,0,0,0
149.5,0,0,0,0,0
150.0,0,0,0,0,0
150.5,0,0,0,0,0
151.0,0,0,0,0,0
151.5,0,0,0,0,0
152.0,0,0,0,0,0
152.5,0,0,0,0,0
153.0,0,0,0,0,0
153.5,0,0,0,0,0
154.0,0,0,0,0,0
154.5,0,0,0,0,0
155.0,0,0,0,0,0
155.5,0,0,0,0,0
156.0,0,0,0,0,0
156.5,0,0,0,0,0
157.0,0,0,0,0,0
157.5,0,0,0,0,0
158.0,0,0,0,0,0
158.5,0,0,0,0,0
159.0,0,0,0,0,0
159.5,0,0,0,0,0
160.0,0,0,0,0,0
160.5,0,0,0,0,0
161.0,0,0,0,0,0
161.5,0,0,0,0,0
162.0,0,0,0,0,0
162.5,0,0,0,0,0
163.0,0,0,0,0,0
163.5,0,0,0,0,0
164.0,0,0,0,0,0
164.5,0,0,0,0,0
165.0,0,0,0,0,0
165.5,0,0,0,0,0
166.0,0,0,0,0,0
166.5,0,0,0,0,0
167.0,0,0,0,0,0
167.5,0,0,0,0,0
168.0,0,0,0,0,0
168.5,0,0,0,0,0
169.0,0,0,0,0,0
169.5,0,0,0,0,0
170.0,0,0,0,0,0
170.5,0,0,0,0,0
171.0,0,0,0,0,0
171.5,0,0,0,0,0
172.0,0,0,0,0,0
172.5,0,0,0,0,0
173.0,0,0,0,0,0
173.5,0,0,0,0,0
174.0,0,0,0,0,0
174.5,0,0,0,0,0
175.0,0,0,0,0,0
175.5,0,0,0,0,0
176.0,0,0,0,0,0
176.5,0,0,0,0,0
177.0,0,0,0,0,0
177.5,0,0,0,0,0
178.0,0,0,0,0,0
178.5,0,0,0,0,0
179.0,0,0,0,0,0
179.5,0,0,0,0,0
180.0,0,0,0,0,0
180.5,0,0,0,0,0
181.0,0,0,0,0,0
181.5,0,0,0,0,0
182.0,0,0,0,0,0
182.5,0,0,0,0,0
183.0,0,0,0,0,0
183.5,0,0,0,0,0
184.0,0,0,0,0,0
184.5,0,0,0,0,0
185.0,0,0,0,0,0
185.5,0,0,0,0,0
186.0,0,0,0,0,0
186.5,0,0,0,0,0
187.0,0,0,0,0,0
187.5,0,0,0,0,0
188.0,0,0,0,0,0
188.5,0,0,0,0,0
189.0,0,0,0,0,0
189.5,0,0,0,0,0
190.0,0,0,0,0,0
190.5,0,0,0,0,0
191.0,0,0,0,0,0
191.5,0,0,0,0,0
192.0,0,0,0,0,0
192.5,0,0,0,0,0
193.0,0,0,0,0,0
193.5,0,0,0,0,0
194.0,0,0,0,0,0
194.5,0,0,0,0,0
195.0,0,0,0,0,0
195.5,0,0,0,0,0
196.0,0,0,0,0,0
196.5,0,0,0,0,0
197.0,0,0,0,0,0
197.5,0,0,0,0,0
198.0,0,0,0,0,0
198.5,0,0,0,0,0
199.0,0,0,0,0,0
199.5,0,0,0,0,0
200.0,0,0,0,0,0
200.5,0,0,0,0,0
201.0,0,0,0,0,0
201.5,0,0,0,0,0
202.0,0,0,0,0,0
202.5,0,0,0,0,0
203.0,0,0,0,0,0
203.5,0,0,0,0,0
204.0,0,0,0,0,0
204.5,0,0,0,0,0
205.0,0,0,0,0,0
205.5,0,0,0,0,0
206.0,0,0,0,0,0
206.5,0,0,0,0,0
207.0,0,0,0,0,0
207.5,0,0,0,0,0
208.0,0,0,0,0,0
208.5,0,0,0,0,0
209.0,0,0,0,0,0
209.5,0,0,0,0,0
210.0,0,0,0,0,0
210.5,0,0,0,0,0
211.0,0,0,0,0,0
211.5,0,0,0,0,0
212.0,0,0,0,0,0
212.5,0,0,0,0,0
213.0,0,0,0,0,0
213.5,0,0,0,0,0
214.0,0,0,0,0,0
214.5,0,0,0,0,0
215.0,0,0,0,0,0
215.5,0,0,0,0,0
216.0,0,0,0,0,0
216.5,0,0,0,0,0
217.0,0,0,0,0,0
217.5,0,0,0,0,0
218.0,0,0,0,0,0
218.5,0,0,0,0,0
219.0,0,0,0,0,0
219.5,0,0,0,0,0
220.0,0,0,0,0,0
220.5,0,0,0,0,0
221.0,0,0,0,0,0
221.5,0,0,0,0,0
222.0,0,0,0,0,0
222.5,0,0,0,0,0
223.0,0,0,0,0,0
223.5,0,0,0,0,0
224.0,0,0,0,0,0
224.5,0,0,0,0,0
225.0,0,0,0,0,0
225.5,0,0,0,0,0
226.0,0,0,0,0,0
226.5,0,0,0,0,0
227.0,0,0,0,0,0
227.5,0,0,0,0,0
228.0,0,0,0,0,0
228.5,0,0,0,0,0
229.0,0,0,0,0,0
229.5,0,0,0,0,0
230.0,0,0,0,0,0
230.5,0,0,0,0,0
231.0,0,0,0,0,0
231.5,0,0,0,0,0
232.0,0,0,0,0,0
232.5,0,0,0,0,0
233.0,0,0,0,0,0
233.5,0,0,0,0,0
234.0,0,0,0,0,0
234.5,0,0,0,0,0
235.0,0,0,0,0,0
235.5,0,0,0,0,0
236.0,0,0,0,0,0
236.5,0,0,0,0,0
237.0,0,0,0,0,0
237.5,0,0,0,0,0
238.0,0,0,0,0,0
238.5,0,0,0,0,0
239.0,0,0,0,0,0
239.5,0,0,0,0,0
240.0,0,0,0,0,0
240.5,0,0,0,0,0
241.0,0,0,0,0,0
241.5,0,0,0,0,0
242.0,0,0,0,0,0
242.5,0,0,0,0,0
243.0,0,0,0,0,0
243.5,0,0,0,0,0
244.0,0,0,0,0,0
244.5,0,0,0,0,0
245.0,0,0,0,0,0
245.5,0,0,0,0,0
246.0,0,0,0,0,0
246.5,0,0,0,0,0
247.0,0,0,0,0,0
247.5,0,0,0,0,0
248.0,0,0,0,0,0
248.5,0,0,0,0,0
249.0,0,0,0,0,0
249.5,0,0,0,0,0
250.0,0,0,0,0,0
250.5,0,0,0,0,0
251.0,0,0,0,0,0
251.5,0,0,0,0,0
252.0,0,0,0,0,0
252.5,0,0,0,0,0
253.0,0,0,0,0,0
253.5,0,0,0,0,0
254.0,0,0,0,0,0
254.5,0,0,0,0,0
255.0,0,0,0,0,0
255.5,0,0,0,0,0
256.0,0,0,0,0,0
256.5,0,0,0,0,0
257.0,0,0,0,0,0
257.5,0,0,0,0,0
258.0,0,0,0,0,0
258.5,0,0,0,0,0
259.0,0,0,0,0,0
259.5,0,0,0,0,0
260.0,0,0,0,0,0
260.5,0,0,0,0,0
261.0,0,0,0,0,0
261.5,0,0,0,0,0
262.0,0,0,0,0,0
262.5,0,0,0,0,0
263.0,0,0,0,0,0
263.5,0,0,0,0,0
264.0,0,0,0,0,0
264.5,0,0,0,0,0
265.0,0,0,0,0,0
265.5,0,0,0,0,0
266.0,0,0,0,0,0
266.5,0,0,0,0,0
267.0,0,0,0,0,0
267.5,0,0,0,0,0
268.0,0,0,0,0,0
268.5,0,0,0,0,0
269.0,0,0,0,0,0
269.5,0,0,0,0,0
270.0,0,0,0,0,0
270.5,0,0,0,0,0
271.0,0,0,0,0,0
271.5,0,0,0,0,0
272.0,0,0,0,0,0
272.5,0,0,0,0,0
273.0,0,0,0,0,0
273.5,0,0,0,0,0
274.0,0,0,0,0,0
274.5,0,0,0,0,0
275.0,0,0,0,0,0
275.5,0,0,0,0,0
276.0,0,0,0,0,0
276.5,0,0,0,0,0
277.0,0,0,0,0,0
277.5,0,0,0,0,0
278.0,0,0,0,0,0
278.5,0,0,0,0,0
279.0,0,0,0,0,0
279.5,0,0,0,0,0
280.0,0,0,0,0,0
280.5,0,0,0,0,0
281.0,0,0,0,0,0
281.5,0,0,0,0,0
282.0,0,0,0,0,0
282.5,0,0,0,0,0
283.0,0,0,0,0,0
283.5,0,0,0,0,0
284.0,0,0,0,0,0
284.5,0,0,0,0,0
285.0,0,0,0,0,0
285.5,0,0,0,0,0
286.0,0,0,0,0,0
286.5,0,0,0,0,0
287.0,0,0,0,0,0
287.5,0,0,0,0,0
288.0,0,0,0,0,0
288.5,0,0,0,0,0
289.0,0,0,0,0,0
289.5,0,0,0,0,0
290.0,0,0,0,0,0
290.5,0,0,0,0,0
291.0,0,0,0,0,0
291.5,0,0,0,0,0
292.0,0,0,0,0,0
292.5,0,0,0,0,0
293.0,0,0,0,0,0
293.5,0,0,0,0,0
294.0,0,0,0,0,0
294.5,0,0,0,0,0
295.0,0,0,0,0,0
295.5,0,0,0,0,0
296.0,0,0,0,0,0
296.5,0,0,0,0,0
297.0,0,0,0,0,0
297.5,0,0,0,0,0
298.0,0,0,0,0,0
298.5,0,0,0,0,0
299.0,0,0,0,0,0
299.5,0,0,0,0,0
